km;Hm;Rad
48;1278;MTB
87;1100;Rennrad
102;2458;MTB
39;2100;MTB
77;473;Rennrad
109;289;Rennrad
33;489;MTB
41;622;Rennrad
71;1921;Rennrad
54;1500;MTB
22;650;MTB
201;2409;Rennrad
195;5145;Rennrad
204;4950;Rennrad
64;1063;Rennrad
102;1623;Rennrad
72;1693;MTB
143;1070;Rennrad
128;944;Rennrad
28;281;Rennrad
101;2184;MTB
94;2400;MTB
182;2277;Rennrad
257;3395;Rennrad
187;5179;Rennrad
162;2901;Rennrad
200;4450;Rennrad
230;6568;Rennrad
230;6412;Rennrad
25;303;Rennrad
72;983;Rennrad
226;5066;Rennrad
184;4447;Rennrad
211;3608;Rennrad
244;3976;Rennrad
76;553;Rennrad
180;3107;Rennrad
103;1785;Rennrad
17;278;Rennrad
242;6472;Rennrad
60;729;Rennrad
15;317;MTB
24;233;Rennrad
52;533;Rennrad
27;465;Rennrad
199;1546;Rennrad
88;2217;MTB
93;2677;MTB
34;733;MTB
104;2570;MTB
172;4227;Rennrad
